,gsr
0,331
1,332
2,336
3,337
4,335
5,327
6,318
7,313
8,312
9,313
10,315
11,320
12,326
13,328
14,331
15,332
16,335
17,336
18,337
19,338
20,340
21,341
22,342
23,342
24,343
25,345
26,343
27,341
28,333
29,321
30,309
31,303
32,303
33,304
34,309
35,312
36,314
37,314
38,315
39,319
40,320
41,319
42,312
43,305
44,302
45,304
46,307
47,308
48,310
49,311
50,312
51,316
52,318
53,315
54,303
55,291
56,281
57,280
58,283
59,286
60,288
61,290
62,292
63,297
64,302
65,307
66,306
67,299
68,288
69,281
70,281
71,282
72,283
73,283
74,284
75,288
76,290
77,294
78,294
79,288
80,284
81,282
82,282
83,284
84,287
85,291
86,295
87,296
88,297
89,294
90,294
91,295
92,296
93,298
94,296
95,290
96,288
97,289
98,294
99,285
100,285
101,293
102,297
103,301
104,304
105,305
106,301
107,289
108,279
109,276
110,278
111,281
112,283
113,288
114,291
115,295
116,288
117,280
118,274
119,246
120,257
121,275
122,274
123,272
124,263
125,265
126,272
127,283
128,288
129,292
130,292
131,289
132,285
133,285
134,274
135,286
136,300
137,308
138,311
139,289
140,276
141,279
142,280
143,281
144,278
145,271
146,261
147,252
148,246
149,271
150,298
151,308
152,317
153,306
154,278
155,271
156,276
157,284
158,291
159,293
160,286
161,278
162,278
163,281
164,279
165,287
166,280
167,280
168,297
169,309
170,310
171,310
172,303
173,300
174,290
175,285
176,285
177,285
178,286
179,286
180,289
181,291
182,291
183,292
184,290
185,285
186,281
187,284
188,289
189,290
190,285
191,278
192,270
193,264
194,261
195,259
196,258
197,258
198,254
199,258
200,271
201,278
202,275
203,262
204,258
205,254
206,249
207,246
208,240
209,238
210,237
211,240
212,239
213,243
214,243
215,245
216,238
217,222
218,211
219,213
220,210
221,209
222,206
223,206
224,213
225,223
226,229
227,225
228,216
229,213
230,213
231,212
232,209
233,206
234,205
235,206
236,206
237,210
238,211
239,209
240,217
241,221
242,221
243,221
244,225
245,225
246,224
247,226
248,227
249,230
250,230
251,229
252,228
253,229
254,231
255,237
256,249
257,249
258,244
259,244
260,245
261,245
262,247
263,246
264,240
265,233
266,228
267,225
268,226
269,229
270,228
271,224
272,223
273,224
274,226
275,229
276,232
277,235
278,238
279,240
280,244
281,246
282,247
283,250
284,252
285,251
286,251
287,253
288,256
289,257
290,260
291,261
292,262
293,262
294,261
295,259
296,258
297,255
298,254
299,251
300,247
301,246
302,245
303,247
304,249
305,252
306,255
307,256
308,257
309,257
310,258
311,260
312,257
313,247
314,232
315,233
316,235
317,236
318,230
319,237
320,242
321,246
322,250
323,251
324,246
325,245
326,242
327,249
328,252
329,252
330,251
331,253
332,254
333,254
334,257
335,253
336,247
337,238
338,234
339,231
340,230
341,234
342,240
343,244
344,250
345,253
346,255
347,254
348,256
349,255
350,255
351,250
352,242
353,240
354,240
355,240
356,241
357,240
358,241
359,243
360,245
361,246
362,248
363,251
364,251
365,247
366,241
367,239
368,238
369,238
370,240
371,243
372,243
373,244
374,241
375,237
376,236
377,236
378,241
379,246
380,249
381,250
382,250
383,248
384,245
385,241
386,240
387,242
388,244
389,244
390,245
391,247
392,247
393,247
394,246
395,247
396,248
397,248
398,248
399,248
400,250
